date,etf_open,etf_close,signal_probability,research_target_weight,next_target_weight,executed_target_weight,shadow_target_weight,quality_gate_passed,contribution,total_contributions,strategy_cash,strategy_shares,strategy_portfolio_value,strategy_nav,baseline_cash,baseline_shares,baseline_portfolio_value,baseline_nav,shadow_cash,shadow_shares,shadow_portfolio_value,shadow_nav
2026-08-05,1.38000000,1.41500000,0.54033417,0.50000000,1.00000000,1.00000000,0.00000000,False,0.00000000,16000.00000000,4.41120000,11900,16842.91120000,1.10201438,4.41120000,11900,16842.91120000,1.10201438,15856.70220000,0,15856.70220000,0.99044681
2026-08-06,1.40200000,1.40200000,0.53306715,0.50000000,1.00000000,1.00000000,0.00000000,False,0.00000000,16000.00000000,4.41120000,11900,16688.21120000,1.09189252,4.41120000,11900,16688.21120000,1.09189252,15856.70220000,0,15856.70220000,0.99044681
2026-08-07,1.40500000,1.41700000,0.53016874,0.50000000,1.00000000,1.00000000,0.00000000,False,0.00000000,16000.00000000,4.41120000,11900,16866.71120000,1.10357159,4.41120000,11900,16866.71120000,1.10357159,15856.70220000,0,15856.70220000,0.99044681
2026-08-10,1.42300000,1.40200000,0.52339104,0.50000000,1.00000000,1.00000000,0.00000000,False,0.00000000,16000.00000000,4.41120000,11900,16688.21120000,1.09189252,4.41120000,11900,16688.21120000,1.09189252,15856.70220000,0,15856.70220000,0.99044681
2026-08-11,1.39400000,1.43100000,0.53218112,0.50000000,1.00000000,1.00000000,0.00000000,False,0.00000000,16000.00000000,4.41120000,11900,17033.31120000,1.11447206,4.41120000,11900,17033.31120000,1.11447206,15856.70220000,0,15856.70220000,0.99044681
2026-08-12,1.43000000,1.42000000,0.52531419,0.50000000,1.00000000,1.00000000,0.00000000,True,0.00000000,16000.00000000,4.41120000,11900,16902.41120000,1.10590740,4.41120000,11900,16902.41120000,1.10590740,15856.70220000,0,15856.70220000,0.99044681
2026-08-13,1.42100000,1.39700000,0.52892685,0.50000000,1.00000000,1.00000000,0.20000000,True,0.00000000,16000.00000000,4.41120000,11900,16628.71120000,1.08799949,4.41120000,11900,16628.71120000,1.08799949,12723.93910000,2200,15797.33910000,0.98673885
2026-08-14,1.39600000,1.39800000,0.51621230,0.50000000,1.00000000,1.00000000,0.20000000,True,0.00000000,16000.00000000,4.41120000,11900,16640.61120000,1.08877810,4.41120000,11900,16640.61120000,1.08877810,12723.93910000,2200,15799.53910000,0.98687627
2026-08-17,1.40100000,1.43500000,0.51875970,0.50000000,1.00000000,1.00000000,0.20000000,True,0.00000000,16000.00000000,4.41120000,11900,17080.91120000,1.11758648,4.41120000,11900,17080.91120000,1.11758648,12723.93910000,2200,15880.93910000,0.99196071
2026-08-18,1.43700000,1.47100000,0.52742892,0.50000000,1.00000000,1.00000000,0.20000000,True,0.00000000,16000.00000000,4.41120000,11900,17509.31120000,1.14561625,4.41120000,11900,17509.31120000,1.14561625,12723.93910000,2200,15960.13910000,0.99690772
